newest_detection,Month,Quarter,DOY,confidence,num_fires,centroid.latitude,centroid.longitude
2020-05-29T22:36:32+00:00,May,Q2,150,1,22,-12.41688705,37.93613037
2020-05-29T22:36:32+00:00,May,Q2,160,1,17,-12.17150357,38.06533157
2020-05-29T22:36:32+00:00,May,Q2,150,0.75,7,-11.49965229,38.14499714
2020-05-30T13:08:41+00:00,May,Q2,151,0.5,10,-12.0706064,38.5184952
2020-06-03T11:48:50+00:00,June,Q2,155,1,205,-11.41937611,38.32333389
2020-05-31T12:53:11+00:00,May,Q2,152,0.75,35,-11.60852274,38.69259583
2020-05-30T13:08:41+00:00,May,Q2,151,0.5,9,-12.19078363,37.85406
2020-05-30T21:29:53+00:00,May,Q2,151,1,61,-12.310982,38.22180825
2020-06-01T12:32:35+00:00,June,Q2,153,0.75,60,-12.01255249,38.50769712
2020-05-31T12:53:11+00:00,May,Q2,152,0.5,17,-11.53732176,38.76709641
2020-06-01T12:32:35+00:00,June,Q2,153,0.5,46,-11.62080043,38.60267722
2020-06-02T09:22:08+00:00,June,Q2,154,1,72,-11.41744787,38.58200835
2020-05-31T21:02:15+00:00,May,Q2,152,0.75,27,-11.54598496,38.25329644
2020-05-31T12:54:32+00:00,May,Q2,152,0.5,15,-12.19408333,37.96578133
2020-06-01T12:32:35+00:00,June,Q2,153,0.5,22,-11.45594364,38.60947677
2020-05-31T21:02:15+00:00,May,Q2,152,0.5,11,-11.33709209,38.27288455
2020-06-01T12:32:35+00:00,June,Q2,153,0.75,30,-11.49290417,38.0843469
2020-06-06T20:45:02+00:00,June,Q2,158,1,93,-11.5744918,38.34842573
2020-06-01T12:32:35+00:00,June,Q2,153,0.5,12,-12.26419658,38.0791205
2020-06-01T12:32:35+00:00,June,Q2,153,0.5,10,-11.58976956,38.19361333
2020-06-01T12:32:35+00:00,June,Q2,153,0.5,21,-11.66964457,38.112928
2020-06-02T12:09:43+00:00,June,Q2,154,0.5,23,-11.54145689,38.19814128
2020-06-03T21:17:18+00:00,June,Q2,155,1,36,-11.82018811,37.98874811
2020-06-02T21:21:19+00:00,June,Q2,154,1,112,-11.30152963,38.73865142
2020-06-01T12:32:35+00:00,June,Q2,153,0.5,22,-11.79777482,38.34169232
2020-06-01T21:40:48+00:00,June,Q2,153,0.5,5,-11.9498262,38.1402642
2020-06-04T13:45:50+00:00,June,Q2,156,1,87,-11.31518068,38.2037701
2020-06-02T09:22:08+00:00,June,Q2,154,1,35,-11.58293088,38.43499252
2020-06-02T12:09:43+00:00,June,Q2,154,0.5,9,-11.67940822,37.98606856
2020-06-02T10:02:55+00:00,June,Q2,154,0.5,7,-11.62317986,37.50482786
2020-06-02T12:09:43+00:00,June,Q2,154,0.5,11,-11.73399891,38.09579264
2020-06-06T15:50:26+00:00,June,Q2,158,0.75,21,-11.851867,38.65374756
2020-06-03T11:48:50+00:00,June,Q2,155,1,101,-11.866882,38.14058039
2020-06-05T18:16:41+00:00,June,Q2,157,1,110,-11.93171333,38.37914778
2020-06-06T17:14:54+00:00,June,Q2,158,1,101,-11.43545651,38.09671823
2020-06-03T11:48:50+00:00,June,Q2,155,0.5,9,-11.339914,38.81349911
2020-06-03T11:48:50+00:00,June,Q2,155,0.75,8,-11.56626888,38.80454613
2020-06-03T11:48:50+00:00,June,Q2,155,0.5,15,-11.480877,38.71872
2020-06-03T11:48:50+00:00,June,Q2,155,0.5,19,-12.04397984,38.21763153
2020-06-04T12:14:31+00:00,June,Q2,156,0.5,8,-11.77343563,38.39634525
2020-06-05T18:16:41+00:00,June,Q2,157,0.75,53,-11.80913426,38.15130721
2020-06-05T03:24:02+00:00,June,Q2,157,0.75,7,-12.18688971,38.41801857
2020-06-05T00:38:04+00:00,June,Q2,157,0.5,10,-12.3191517,38.3212981
2020-06-05T00:38:04+00:00,June,Q2,157,0.75,35,-12.22104095,38.43153135
2020-06-06T18:23:07+00:00,June,Q2,158,1,22,-11.76767375,38.29275625
2020-06-06T18:23:07+00:00,June,Q2,158,0.75,10,-12.2868855,38.5417431
2020-06-07T01:32:49+00:00,June,Q2,159,1,30,-11.72909305,38.1354849
2020-06-07T01:32:49+00:00,June,Q2,159,0.75,25,-11.39811856,38.1313072
2020-06-06T00:50:33+00:00,June,Q2,158,0.5,29,-11.96525428,38.3125225
2020-06-07T01:32:49+00:00,June,Q2,159,0.75,17,-11.284163,38.11898238
2020-06-06T22:53:20+00:00,June,Q2,158,0.5,11,-11.57655018,38.70959345
2020-06-06T22:53:20+00:00,June,Q2,158,1,36,-11.77207806,38.16223344
2020-06-06T22:49:12+00:00,June,Q2,158,0.5,7,-11.55787829,37.738911
2020-06-07T00:53:45+00:00,June,Q2,159,1,21,-11.72648821,38.07141614
2020-06-07T01:32:49+00:00,June,Q2,159,1,11,-11.71916773,38.74812782
2020-06-07T09:40:28+00:00,June,Q2,159,1,23,-11.83000739,38.53606339
2020-06-06T17:14:54+00:00,June,Q2,158,0.5,7,-12.23254171,37.76090929
